pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
1;;1;MATCHS;Match Status;;U,R;{"1":"Matched birth/infant death record","2":"Surviving infant record","3":"Unmatched infant death record"}; This code is used in the unlinked file
2;6;5;IDNUMBER;Infant Death Number;;;{};This number uniquely identifies the same infant in the numerator and denominator-plus files.
7;10;4;BIRYR;Year of Birth;;;{};
11;;1;RESSTATB;Resident Status - Birth;;;{"1":{"United States Occurrence":"RESIDENTS State and County of Occurrence and Residence are the same.","Puerto Rico Occurrence":"RESIDENTS Territory and County-equivalent of Occurrence and Residence are the same.","Virgin Islands Occurrence":"RESIDENTS Territory and County-equivalent of Occurrence and Residence are the same.","Guam Occurrence":"RESIDENTS Occurred in Guam to a resident of Guam or to a resident of the U.S."},"2":{"United States Occurrence":"INTRASTATE NONRESIDENTS State of Occurrence and Residence are the same, but County is different.","Puerto Rico Occurrence":"INTRASTATE NONRESIDENTS Territory of Occurrence and Residence are the same, but County-equivalent is different","Virgin Islands Occurrence":"INTRASTATE NONRESIDENTS Territory of Occurrence and Residence are the same, but County-equivalent is different","Guam Occurrence":""},"3":{"United States Occurrence":"INTERSTATE NONRESIDENTS State of Occurrence and Residence are different, but both are in the U.S","Puerto Rico Occurrence":"  INTERTERRITORY NONRESIDENTS Territory of occurrence and residence are different, but both are a Territory","Virgin Islands Occurrence":"INTERTERRITORY NONRESIDENTS Territory of occurrence and residence are different, but both are a Territory.","Guam Occurrence":"  INTERTERRITORY NONRESIDENTS Territory of occurrence and residence are different, but both are a Territory."}, "4":{"United States Occurrence":"FOREIGN RESIDENTS State of Occurrence is one of the 50 States or the District of Columbia, but Place of Residence is outside of the U.S.","Puerto Rico Occurrence":"FOREIGN RESIDENTS Occurred in Puerto Rico to a resident of any other place.","Virgin Islands Occurrence":"FOREIGN RESIDENTS Occurred in Virgin Islands to a resident of any other place.","Guam Occurrence":"FOREIGN RESIDENTS Occurred in Guam to a resident of any place other than Guam or the U.S"}};
12;13;2;BRSTATE;Expanded State of Residence - NCHS Codes - Birth;;;{"01":"Alabama","02":"Alaska","03":"Arizona","04":"Arkansas","05":"California","06":"Colorado","07":"Connecticut","08":"Delaware","09":"District of Columbia","10":"Florida","11":"Georgia","12":"Hawaii","13":"Idaho","14":"Illinois","15":"Indiana","16":"Iowa","17":"Kansas","18":"Kentucky","19":"Louisiana","20":"Maine","21":"Maryland","22":"Massachusetts","23":"Michigan","24":"Minnesota","25":"Mississippi","26":"Missouri","27":"Montana","28":"Nebraska","29":"Nevada","30":"New Hampshire","31":"New Jersey","32":"New Mexico","33":"New York","34":"New York City","35":"North Carolina","36":"North Dakota","37":"Ohio","38":"Oklahoma","39":"Oregon","40":"Pennsylvania","41":"Rhode Island","42":"South Carolina","43":"South Dakota","44":"Tennessee","45":"Texas","46":"Utah","47":"Vermont","48":"Virginia","49":"Washington","50":"West Virginia","51":"Wisconsin","52":"Wyoming","53":"Puerto Rico","54":"Virgin Islands","55":"Guam","56":"Canada","57":"Cuba","58":"Mexico","60":"Remainder of the World"};
14;15;2;STOCCFIPB;State of Occurrence (FIPS) - Birth;;;{"01":"Alabama","02":"Alaska","04":"Arizona","05":"Arkansas","06":"California","08":"Colorado","09":"Connecticut","10":"Delaware","11":"District of Columbia","12":"Florida","13":"Georgia","15":"Hawaii","16":"Idaho","17":"Illinois","18":"Indiana","19":"Iowa","20":"Kansas","21":"Kentucky","22":"Louisiana","23":"Maine","24":"Maryland","25":"Massachusetts","26":"Michigan","27":"Minnesota","28":"Mississippi","29":"Missouri","30":"Montana","31":"Nebraska","32":"Nevada","33":"New Hampshire","34":"New Jersey","35":"New Mexico","36":"New York","37":"North Carolina","38":"North Dakota","39":"Ohio","40":"Oklahoma","41":"Oregon","42":"Pennsylvania","44":"Rhode Island","45":"South Carolina","46":"South Dakota","47":"Tennessee","48":"Texas","49":"Utah","50":"Vermont","51":"Virginia ","53":"Washington","54":"West Virginia","55":"Wisconsin","56":"Wyoming","72":"Puerto Rico","78":"Virgin Islands","66":"Guam"};
16;18;3;CNTOCFIPB;County of Occurrence (FIPS) - Birth;;;{"999":"County less than 250,000 population"};001-nnn Code range
19;20;2;STRESFIPB;State of Residence (FIPS) - Birth;;;{"01":"Alabama","02":"Alaska","04":"Arizona","05":"Arkansas","06":"California","08":"Colorado","09":"Connecticut","10":"Delaware","11":"District of Columbia","12":"Florida","13":"Georgia","15":"Hawaii","16":"Idaho","17":"Illinois","18":"Indiana","19":"Iowa","20":"Kansas","21":"Kentucky","22":"Louisiana","23":"Maine","24":"Maryland","25":"Massachusetts","26":"Michigan","27":"Minnesota","28":"Mississippi","29":"Missouri","30":"Montana","31":"Nebraska","32":"Nevada","33":"New Hampshire","34":"New Jersey","35":"New Mexico","36":"New York","37":"North Carolina","38":"North Dakota","39":"Ohio","40":"Oklahoma","41":"Oregon","42":"Pennsylvania","44":"Rhode Island","45":"South Carolina","46":"South Dakota","47":"Tennessee","48":"Texas","49":"Utah","50":"Vermont","51":"Virginia ","53":"Washington","54":"West Virginia","55":"Wisconsin","56":"Wyoming","72":"Puerto Rico","78":"Virgin Islands","66":"Guam","72":"Puerto Rico","78":"Virgin Islands","66":"Guam"};
21;23;3;CNTYRFPB;County of Residence (FIPS) - Birth;;;{"000":"Foreign residents","999":"County less than 250,000 population"};001-nnn Code range
24;28;5;PLRES;City of Residence (FIPS);;;{"00000":"Foreign residents"};00001-99999 See Geographic Table
29;;1;MAGEFLG;Age of Mother Flag;;;{" ":"Not imputed and reported age is not used","1":"Reported age is used","2":"Age is imputed"};
30;31;2;DMAGE;Age of Mother;;;{};
32;;1;MAGER8;Mother’s Age Recode 8;;;{"1":"under 15 years","2":"15-19 years","3":"20-24 years","4":"25-29 years","5":"30-34 years","6":"35-39 years","7":"40-44 years","8":"45-54 years"};
33;;1;ORRACEM;Hispanic Origin and Race of Mother Recode;;;{"0":"Non-Hispanic","1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","9":"Origin unknown or not stated"};
34;;1;ORRACEM;Hispanic Origin and Race of Mother Recode;;;{"1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","6":"Non-Hispanic White","7":"Non-Hispanic Black","8":"Non-Hispanic Other Races","9":"Origin unknown or not stated"};
35;;1;MRACEIMP;Mother’s Race Imputed;;;{" ":"Mother's' race not imputed", "1":"Unknown race imputed","2":"All other races, formerly coded 09, imputed"};
36;37;2;MRACE;Mother’s Race;;;{"01":{"United States":"White","Puerto Rico":"White","Guam":"White","All other Outlying Areas of the US":"White"},"02":{"United States":"Black","Puerto Rico":"Black","Guam":"Black","All other Outlying Areas of the US":"Black"},"03":{"United States":"American Indian/Alaskan Native","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":"American Indian/Alaskan Native"},"04":{"United States":"Chinese","Puerto Rico":"","Guam":"Chinese","All other Outlying Areas of the US":"Chinese"},"05":{"United States":"Japanese","Puerto Rico":"","Guam":"Japanese","All other Outlying Areas of the US":"Japanese"},"06":{"United States":"Hawaiian (includes part Hawaiian)","Puerto Rico":"","Guam":"Hawaiian (includes part Hawaiian)","All other Outlying Areas of the US":"Hawaiian (includes part Hawaiian)"},"07":{"United States":"Filipino","Puerto Rico":"","Guam":"Filipino","All other Outlying Areas of the US":"Filipino"},"18":{"United States":"Asian Indian","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"28":{"United States":"Korean","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"38":{"United States":"Samoan","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"48":{"United States":"Vietnamese","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"58":{"United States":"Guamanian","Puerto Rico":"","Guam":"Guamanian","All other Outlying Areas of the US":""},"68":{"United States":"Other Asian or Pacific Islander in areas reporting codes 18-58.","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"78":{"United States":"Combined other Asian or Pacific Islander, includes 18-68 for areas that do not report them separately.","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"00":{"United States":"","Puerto Rico":"Other races","Guam":"","All other Outlying Areas of the US":""},"08":{"United States":"","Puerto Rico":"","Guam":"Other Asian or Pacific Islander","All other Outlying Areas of the US":"Other Asian or Pacific Islander"}, " ":{"United States":"Not on certificate","Puerto Rico":"Not on certificate","Guam":"Not on certificate","All other Outlying Areas of the US":"Not on certificate"}};
38;;1;MRACE3;Race of Mother Recode 3;;;{"1":"White","2":"Races other than White or Black","3":"Black"};
39;40;2;DMEDUC;Education of Mother Detail;;;{"00":"No formal education","01":"1 year of elementary school","02":"2 years of elementary school","03":"3 years of elementary school","04":"4 years of elementary school","05":"5 years of elementary school","06":"6 years of elementary school","07":"7 years of elementary school","08":"8 years of elementary school","09":"1 year of high school","10":"2 years of high school","11":"3 years of high school","12":"4 years of high school","13":"1 year of college","14":"2 years of college","15":"3 years of college","16":"4 years of college","17":"5 or more years of college","99":"Not stated"};
41;;1;MEDUC6;Mother’s Education Recode 6;;;{"1":"0 –8 years","2":"9 –11 years","3":"12 years","4":"13 –15 years","5":"16 years and over","6":"Not stated"};
42;;1;DMARIMP;Marital Status of Mother Imputation Flag;;;{" ":"Marital Status not imputed","1":"Marital Status imputed"};
43;;1;DMAR;Mother’s Marital Status;;;{"1":{"United States and all Outlying Areas of the US except Puerto Rico":"Yes","Puerto Rico":"Yes"},"2":{"United States and all Outlying Areas of the US except Puerto Rico":"No","Puerto Rico":"Unmarried parents living together"}, "3":{"United States and all Outlying Areas of the US except Puerto Rico":"","Puerto Rico":"Unmarried parents not living together"}, "9":{"United States and all Outlying Areas of the US except Puerto Rico":"Unknown or not stated","Puerto Rico":"Unknown or not stated"}};
